schema_version,timestamp,cpu_temp,cpu_util[%],gpu_temp,gpu_util[%],gpu_clock[mhz],gpu_mem_used[mb],gpu_power[w],ram_used[mb],proc_rss[mb],disk_free[gb],queue_depth[n],torch_vram_alloc[mb],torch_vram_reserved[mb],cycles_total[n],dropped_logs[n]
1.0.0,2026-06-23 19:44:15.360,34.7,5.2,57,12,2040,2317.971456,43.202,19532.447744,1778.880512,586.695733248,80,71.339008,138.412032,39,0
1.0.0,2026-06-23 19:44:16.352,34.8,5.8,57,10,2040,2317.971456,40.761,19541.856256,1788.74368,586.695565312,80,71.339008,138.412032,39,0
1.0.0,2026-06-23 19:44:17.353,35.5,4.4,56,1,2040,2317.971456,40.519,19532.664832,1778.880512,586.695294976,80,71.338496,138.412032,40,0
1.0.0,2026-06-23 19:44:18.347,27.8,5.1,56,1,2040,2317.971456,36.11,19532.283904,1778.880512,586.695282688,80,71.338496,138.412032,40,0
1.0.0,2026-06-23 19:44:19.363,31.3,5.1,57,10,2040,2317.971456,40.607,19542.654976,1788.739584,586.6952704,80,71.338496,138.412032,40,0
1.0.0,2026-06-23 19:44:20.355,33.3,3.9,56,1,2040,2317.971456,39.497,19533.7216,1778.860032,586.694946816,80,71.338496,138.412032,41,0
1.0.0,2026-06-23 19:44:21.357,31.6,5.3,57,9,2040,2317.971456,41.413,19544.313856,1788.719104,586.694934528,80,71.338496,138.412032,41,0
1.0.0,2026-06-23 19:44:22.376,35.5,5.6,56,1,2040,2317.971456,39.81,19537.371136,1781.325824,586.694656,80,71.338496,138.412032,42,0
1.0.0,2026-06-23 19:44:23.340,27.9,4.6,57,7,2040,2317.971456,39.464,19543.998464,1788.7232,586.694643712,80,71.339008,138.412032,42,0
1.0.0,2026-06-23 19:44:24.354,36.1,5.5,57,0,2040,2317.971456,41.988,19531.5712,1778.860032,586.694361088,80,71.338496,138.412032,43,0
1.0.0,2026-06-23 19:44:25.360,26.6,7.3,56,1,2040,2317.971456,35.95,19532.292096,1778.855936,586.6943488,80,71.338496,138.412032,43,0
1.0.0,2026-06-23 19:44:26.355,28.1,7.1,56,1,2040,2317.971456,36.275,19532.857344,1778.855936,586.694332416,80,71.338496,138.412032,43,0
1.0.0,2026-06-23 19:44:27.350,29.5,4.5,56,13,2040,2317.971456,37.254,19543.781376,1788.7232,586.694316032,80,71.339008,138.412032,43,0
1.0.0,2026-06-23 19:44:28.375,35.0,5.5,57,10,2040,2317.971456,43.68,19534.462976,1778.864128,586.6940416,80,71.339008,138.412032,44,0
1.0.0,2026-06-23 19:44:29.352,34.0,4.6,57,6,2040,2317.971456,42.235,19544.174592,1788.727296,586.694025216,80,71.338496,138.412032,44,0
1.0.0,2026-06-23 19:44:30.390,32.1,6.8,56,0,2040,2317.971456,39.79,19531.247616,1778.843648,586.69375488,80,71.338496,138.412032,45,0
1.0.0,2026-06-23 19:44:31.357,28.0,6.5,56,1,2040,2317.971456,36.081,19531.034624,1778.839552,586.693742592,80,71.338496,138.412032,45,0
1.0.0,2026-06-23 19:44:32.378,32.5,6.4,57,8,2040,2317.971456,41.392,19541.938176,1788.70272,586.693730304,80,71.338496,138.412032,45,0
1.0.0,2026-06-23 19:44:33.370,33.5,5.1,56,0,2040,2317.971456,39.28,19543.166976,1788.710912,586.693414912,80,71.339008,138.412032,46,0
1.0.0,2026-06-23 19:44:34.351,35.2,4.7,57,8,2040,2317.971456,42.676,19544.14592,1789.6448,586.693398528,80,71.338496,138.412032,46,0
1.0.0,2026-06-23 19:44:35.357,30.8,4.8,57,7,2040,2317.971456,38.789,19537.842176,1782.259712,586.693132288,80,71.338496,138.412032,47,0
1.0.0,2026-06-23 19:44:36.428,31.9,5.3,57,11,2040,2317.971456,40.857,19546.19392,1789.657088,586.69312,80,71.338496,138.412032,47,0
1.0.0,2026-06-23 19:44:37.341,33.2,4.4,56,0,2040,2317.971456,40.305,19528.941568,1780.801536,586.692837376,80,71.338496,138.412032,48,0
1.0.0,2026-06-23 19:44:38.361,29.3,9.0,56,1,2040,2317.971456,36.106,19519.971328,1780.801536,586.692825088,80,71.338496,138.412032,48,0
1.0.0,2026-06-23 19:44:39.333,25.9,3.5,56,1,2040,2317.971456,36.181,19519.209472,1780.79744,586.6928128,80,71.338496,138.412032,48,0
1.0.0,2026-06-23 19:44:40.395,29.8,4.4,57,10,2040,2317.971456,38.654,19529.699328,1790.660608,586.692861952,80,71.339008,138.412032,48,0
1.0.0,2026-06-23 19:44:41.370,37.0,4.6,56,1,2040,2317.971456,41.833,19524.23936,1785.73312,586.69258752,80,71.339008,138.412032,49,0
1.0.0,2026-06-23 19:44:42.345,31.7,5.4,57,19,2040,2317.971456,42.279,19529.23648,1790.660608,586.692579328,80,71.338496,138.412032,49,0
1.0.0,2026-06-23 19:44:43.346,33.4,3.8,56,0,2040,2317.971456,38.546,19515.101184,1780.801536,586.692317184,80,71.338496,138.412032,50,0
1.0.0,2026-06-23 19:44:44.350,26.0,4.4,57,1,2040,2317.971456,36.132,19524.4032,1790.664704,586.6923008,80,71.339008,138.412032,50,0
1.0.0,2026-06-23 19:44:45.359,35.8,5.9,57,12,2040,2317.971456,43.369,19523.846144,1790.660608,586.692288512,80,71.338496,138.412032,50,0
1.0.0,2026-06-23 19:44:46.345,29.7,5.3,57,11,2040,2317.971456,39.262,19523.723264,1790.6688,586.691977216,80,71.339008,138.412032,51,0
1.0.0,2026-06-23 19:44:47.366,38.6,4.5,57,6,2040,2317.971456,43.78,19515.45344,1782.038528,586.69170688,80,71.338496,138.412032,52,0
1.0.0,2026-06-23 19:44:48.340,32.7,4.6,57,4,2040,2317.971456,38.187,19516.391424,1783.271424,586.691694592,80,71.338496,138.412032,52,0
1.0.0,2026-06-23 19:44:49.368,33.3,4.5,57,9,2040,2317.971456,41.727,19522.781184,1790.6688,586.691682304,80,71.338496,138.412032,52,0
1.0.0,2026-06-23 19:44:50.352,29.7,4.2,56,1,2040,2317.971456,38.95,19512.926208,1780.805632,586.691411968,80,71.338496,138.412032,53,0
1.0.0,2026-06-23 19:44:51.339,28.3,3.7,56,1,2040,2317.971456,36.057,19514.69568,1782.734848,586.691395584,80,71.338496,138.412032,53,0
1.0.0,2026-06-23 19:44:52.381,26.8,4.9,56,0,2040,2317.971456,36.209,19514.916864,1782.730752,586.691383296,80,71.338496,138.412032,53,0
1.0.0,2026-06-23 19:44:53.403,28.8,5.9,57,13,2040,2317.971456,39.868,19524.980736,1792.59392,586.691371008,80,71.338496,138.412032,53,0
1.0.0,2026-06-23 19:44:54.407,32.2,5.7,57,2,2040,2317.971456,41.073,19525.677056,1792.6144,586.691088384,80,71.339008,138.412032,54,0
1.0.0,2026-06-23 19:44:55.392,35.3,4.6,57,13,2040,2317.971456,43.659,19516.817408,1783.984128,586.690830336,80,71.338496,138.412032,55,0
1.0.0,2026-06-23 19:44:56.392,28.0,4.4,56,0,2040,2317.971456,36.978,19515.932672,1782.751232,586.690813952,80,71.338496,138.412032,55,0
1.0.0,2026-06-23 19:44:57.357,25.2,4.2,57,5,2040,2317.971456,36.752,19525.632,1792.6144,586.690801664,80,71.339008,138.412032,55,0
1.0.0,2026-06-23 19:44:58.400,35.9,4.5,57,3,2040,2317.971456,43.104,19515.71968,1782.751232,586.690494464,80,71.338496,138.412032,56,0
1.0.0,2026-06-23 19:44:59.413,31.0,4.7,57,11,2040,2317.971456,38.324,19524.52608,1792.6144,586.690482176,80,71.339008,138.412032,56,0
1.0.0,2026-06-23 19:45:00.400,36.0,5.7,57,4,2040,2317.971456,42.463,19521.31072,1785.217024,586.690220032,80,71.338496,138.412032,57,0
1.0.0,2026-06-23 19:45:01.408,29.2,5.2,56,1,2040,2317.971456,37.5,19521.9456,1790.148608,586.690203648,80,71.338496,138.412032,57,0
1.0.0,2026-06-23 19:45:02.473,33.6,5.0,57,12,2040,2317.971456,42.345,19516.747776,1782.751232,586.68992512,80,71.338496,138.412032,58,0
1.0.0,2026-06-23 19:45:03.401,31.5,4.6,56,1,2040,2317.971456,38.249,19514.875904,1782.751232,586.689908736,80,71.338496,138.412032,58,0
1.0.0,2026-06-23 19:45:04.391,25.6,5.4,56,1,2040,2317.971456,36.186,19514.621952,1782.747136,586.689847296,80,71.338496,138.412032,58,0
1.0.0,2026-06-23 19:45:05.384,28.3,5.0,56,0,2040,2317.971456,36.25,19514.421248,1782.747136,586.689835008,80,71.338496,138.412032,58,0
1.0.0,2026-06-23 19:45:06.410,30.5,5.0,57,13,2040,2317.971456,41.145,19525.26336,1792.618496,586.689826816,80,71.338496,138.412032,58,0
1.0.0,2026-06-23 19:45:07.408,33.9,5.1,57,11,2040,2317.971456,40.966,19526.582272,1792.622592,586.689552384,80,71.339008,138.412032,59,0
1.0.0,2026-06-23 19:45:08.404,36.1,4.9,57,0,2040,2317.971456,42.04,19518.595072,1782.759424,586.689224704,80,71.338496,138.412032,60,0
1.0.0,2026-06-23 19:45:09.411,27.5,4.7,56,1,2040,2317.971456,36.079,19518.468096,1782.759424,586.68920832,80,71.338496,138.412032,60,0
1.0.0,2026-06-23 19:45:10.382,29.9,5.9,57,10,2040,2317.971456,38.315,19528.241152,1792.618496,586.689196032,80,71.339008,138.412032,60,0
1.0.0,2026-06-23 19:45:11.402,33.1,4.7,56,0,2040,2317.971456,40.399,19517.956096,1782.759424,586.688868352,80,71.338496,138.412032,61,0
1.0.0,2026-06-23 19:45:12.397,30.0,4.1,57,13,2040,2317.971456,39.684,19527.282688,1792.618496,586.68886016,80,71.338496,138.412032,61,0
1.0.0,2026-06-23 19:45:13.411,33.8,5.1,56,0,2040,2317.971456,41.268,19518.68928,1783.99232,586.688610304,80,71.338496,138.412032,62,0
1.0.0,2026-06-23 19:45:14.399,30.8,4.7,57,10,2040,2317.971456,37.945,19528.036352,1792.622592,586.688610304,80,71.339008,138.412032,62,0
1.0.0,2026-06-23 19:45:15.410,32.4,4.9,57,6,2040,2317.971456,43.328,19518.83264,1782.759424,586.68832768,80,71.338496,138.412032,63,0
1.0.0,2026-06-23 19:45:16.411,28.3,4.1,56,1,2040,2317.971456,36.48,19518.492672,1782.759424,586.688315392,80,71.338496,138.412032,63,0
1.0.0,2026-06-23 19:45:17.391,27.7,5.4,56,1,2040,2317.971456,36.086,19518.93504,1782.755328,586.688303104,80,71.338496,138.412032,63,0
1.0.0,2026-06-23 19:45:18.432,25.0,5.6,56,1,2040,2317.971456,36.523,19532.017664,1793.3312,586.68828672,80,71.339008,138.412032,63,0
1.0.0,2026-06-23 19:45:19.412,34.3,5.1,57,12,2040,2317.971456,42.728,19520.12288,1782.76352,586.688012288,80,71.338496,138.412032,64,0
1.0.0,2026-06-23 19:45:20.414,31.6,4.7,57,10,2040,2317.971456,40.18,19529.33888,1792.626688,586.688,80,71.339008,138.412032,64,0
1.0.0,2026-06-23 19:45:21.413,32.4,5.0,57,0,2040,2317.971456,41.556,19518.992384,1782.76352,586.687746048,80,71.338496,138.412032,65,0
