schema_version,timestamp,cycle_id,capture_latency[ms],frame_dropped[n],hsv_flag,hsv_mask_ratio,infer_latency[ms],preproc[ms],postproc[ms],eject_flag,planned_eject_ts,eject_delay[ms],outcome_flag,cpu_temp,cpu_util[%],gpu_temp,gpu_util[%],gpu_clock[mhz],gpu_mem_used[mb],gpu_power[w]
1.0.0,2026-06-23 19:45:12.706,61,49.33,0,1,0.103,14.33,0.66,0.31,0,,,,,4.1,57,13,2040,2317.971456,39.684
1.0.0,2026-06-23 19:45:15.102,61,,,,,,,,,2026-06-23 19:45:14.840,12.13,1,,,,,,,
1.0.0,2026-06-23 19:45:15.139,62,49.04,0,1,0.0778,13.97,0.71,0.33,1,,,,,4.7,57,10,2040,2317.971456,37.945
1.0.0,2026-06-23 19:45:16.473,62,,,,,,,,,2026-06-23 19:45:16.222,0.63,1,,,,,,,
1.0.0,2026-06-23 19:45:19.292,63,48.4,0,1,0.1133,14.85,0.81,0.34,1,,,,,5.6,56,1,2040,2317.971456,36.523
1.0.0,2026-06-23 19:45:20.624,63,,,,,,,,,2026-06-23 19:45:20.358,15.17,1,,,,,,,
1.0.0,2026-06-23 19:45:20.863,64,49.3,0,1,0.1224,14.1,0.68,0.34,0,,,,,4.7,57,10,2040,2317.971456,40.18
1.0.0,2026-06-23 19:45:23.250,64,,,,,,,,,2026-06-23 19:45:22.996,3.04,1,,,,,,,
1.0.0,2026-06-23 19:45:23.739,65,48.77,0,1,0.1429,13.64,0.63,0.31,1,,,,,6.4,57,12,2040,2317.971456,40.237
1.0.0,2026-06-23 19:45:25.059,65,,,,,,,,,2026-06-23 19:45:24.806,2.39,1,,,,,,,
1.0.0,2026-06-23 19:45:25.602,66,49.1,0,1,0.1029,13.2,0.61,0.3,0,,,,,4.8,57,10,2040,2327.867392,40.494
1.0.0,2026-06-23 19:45:27.957,67,48.99,0,1,0.0777,15.08,0.71,0.35,1,,,,,4.4,57,10,2040,2317.971456,39.196
1.0.0,2026-06-23 19:45:27.994,66,,,,,,,,,2026-06-23 19:45:27.735,8.28,1,,,,,,,
1.0.0,2026-06-23 19:45:29.286,67,,,,,,,,,2026-06-23 19:45:29.024,10.9,1,,,,,,,
1.0.0,2026-06-23 19:45:32.265,68,48.62,0,1,0.1128,14.01,0.67,0.33,1,,,,,5.0,56,7,2040,2317.971456,36.736
1.0.0,2026-06-23 19:45:33.585,68,,,,,,,,,2026-06-23 19:45:33.331,3.27,1,,,,,,,
1.0.0,2026-06-23 19:45:33.613,69,49.7,0,1,0.1247,13.82,0.7,0.35,0,,,,,5.0,57,13,2040,2317.971456,41.262
1.0.0,2026-06-23 19:45:36.012,69,,,,,,,,,2026-06-23 19:45:35.747,14.59,1,,,,,,,
1.0.0,2026-06-23 19:45:36.608,70,46.64,0,1,0.1312,15.37,0.67,0.33,1,,,,,4.9,57,11,2040,2317.971456,41.101
1.0.0,2026-06-23 19:45:37.930,70,,,,,,,,,2026-06-23 19:45:37.675,4.86,1,,,,,,,
1.0.0,2026-06-23 19:45:38.402,71,49.11,0,1,0.1097,14.32,0.66,0.33,0,,,,,4.6,56,1,2040,2317.971456,39.532
1.0.0,2026-06-23 19:45:40.796,71,,,,,,,,,2026-06-23 19:45:40.536,9.0,1,,,,,,,
1.0.0,2026-06-23 19:45:40.839,72,49.33,0,1,0.074,13.73,0.65,0.35,0,,,,,5.6,57,10,2040,2317.971456,40.352
1.0.0,2026-06-23 19:45:43.225,72,,,,,,,,,2026-06-23 19:45:42.972,2.48,1,,,,,,,
1.0.0,2026-06-23 19:45:45.035,73,48.48,0,1,0.1128,14.62,0.63,0.31,1,,,,,6.9,57,10,2040,2317.971456,37.874
1.0.0,2026-06-23 19:45:46.366,73,,,,,,,,,2026-06-23 19:45:46.101,14.6,1,,,,,,,
1.0.0,2026-06-23 19:45:46.426,74,48.89,0,1,0.121,14.6,0.61,0.34,0,,,,,6.7,57,2,2040,2317.971456,43.203
1.0.0,2026-06-23 19:45:48.817,74,,,,,,,,,2026-06-23 19:45:48.559,6.89,1,,,,,,,
1.0.0,2026-06-23 19:45:49.381,75,49.05,0,1,0.1305,13.64,0.67,0.3,1,,,,,4.9,56,1,2040,2317.971456,36.133
1.0.0,2026-06-23 19:45:50.704,75,,,,,,,,,2026-06-23 19:45:50.448,5.64,1,,,,,,,
1.0.0,2026-06-23 19:45:50.988,76,48.36,0,1,0.1154,14.67,0.68,0.32,0,,,,,4.6,57,7,2040,2317.971456,38.039
1.0.0,2026-06-23 19:45:53.385,76,,,,,,,,,2026-06-23 19:45:53.121,13.55,1,,,,,,,
1.0.0,2026-06-23 19:45:53.594,77,48.69,0,1,0.0595,13.49,0.66,0.31,1,,,,,4.4,57,13,2040,2317.971456,41.435
1.0.0,2026-06-23 19:45:54.921,77,,,,,,,,,2026-06-23 19:45:54.661,9.85,1,,,,,,,
1.0.0,2026-06-23 19:45:57.852,78,49.11,0,1,0.114,14.13,0.65,0.33,1,,,,,5.5,57,12,2040,2317.971456,39.651
1.0.0,2026-06-23 19:45:59.171,78,,,,,,,,,2026-06-23 19:45:58.919,1.17,1,,,,,,,
1.0.0,2026-06-23 19:45:59.198,79,49.04,0,1,0.1231,14.06,0.64,0.33,0,,,,,4.8,56,0,2040,2317.971456,41.646
1.0.0,2026-06-23 19:46:01.587,79,,,,,,,,,2026-06-23 19:46:01.331,4.49,1,,,,,,,
1.0.0,2026-06-23 19:46:02.123,80,48.8,0,1,0.1472,14.45,0.63,0.36,1,,,,,5.4,57,13,2040,2317.971456,36.939
1.0.0,2026-06-23 19:46:03.456,80,,,,,,,,,2026-06-23 19:46:03.189,16.36,1,,,,,,,
1.0.0,2026-06-23 19:46:04.062,81,49.18,0,1,0.0945,14.54,0.65,0.3,0,,,,,5.8,57,12,2040,2317.971456,37.965
1.0.0,2026-06-23 19:46:06.450,81,,,,,,,,,2026-06-23 19:46:06.196,3.0,1,,,,,,,
1.0.0,2026-06-23 19:46:06.459,82,49.26,0,1,0.0842,14.96,0.69,0.35,0,,,,,5.8,57,0,2040,2317.971456,37.714
1.0.0,2026-06-23 19:46:08.844,82,,,,,,,,,2026-06-23 19:46:08.593,0.95,1,,,,,,,
1.0.0,2026-06-23 19:46:10.568,83,49.02,0,1,0.1204,14.11,0.67,0.32,1,,,,,4.9,56,1,2040,2317.971456,36.323
1.0.0,2026-06-23 19:46:11.889,83,,,,,,,,,2026-06-23 19:46:11.634,4.54,1,,,,,,,
1.0.0,2026-06-23 19:46:12.121,84,49.09,0,1,0.1232,13.94,0.72,0.3,0,,,,,4.7,57,16,2040,2317.971456,41.013
1.0.0,2026-06-23 19:46:14.515,84,,,,,,,,,2026-06-23 19:46:14.254,9.88,1,,,,,,,
1.0.0,2026-06-23 19:46:15.012,85,48.78,0,1,0.1419,13.68,0.64,0.34,1,,,,,5.3,57,8,2040,2317.971456,38.525
1.0.0,2026-06-23 19:46:16.334,85,,,,,,,,,2026-06-23 19:46:16.079,4.87,1,,,,,,,
1.0.0,2026-06-23 19:46:16.850,86,48.97,0,1,0.1033,15.09,0.76,0.31,0,,,,,4.3,57,7,2040,2317.971456,38.788
1.0.0,2026-06-23 19:46:19.204,87,49.19,0,1,0.0758,13.96,0.69,0.33,0,,,,,4.6,56,1,2040,2317.971456,37.379
1.0.0,2026-06-23 19:46:19.242,86,,,,,,,,,2026-06-23 19:46:18.983,9.18,1,,,,,,,
1.0.0,2026-06-23 19:46:21.605,87,,,,,,,,,2026-06-23 19:46:21.353,1.15,1,,,,,,,
1.0.0,2026-06-23 19:46:23.193,88,48.76,0,1,0.1192,14.79,0.65,0.31,1,,,,,5.6,56,1,2040,2317.971456,36.152
1.0.0,2026-06-23 19:46:24.519,88,,,,,,,,,2026-06-23 19:46:24.260,9.19,1,,,,,,,
1.0.0,2026-06-23 19:46:24.929,89,48.85,0,1,0.1232,13.92,0.64,0.31,0,,,,,4.3,57,13,2040,2317.971456,39.162
1.0.0,2026-06-23 19:46:27.324,89,,,,,,,,,2026-06-23 19:46:27.062,10.8,1,,,,,,,
1.0.0,2026-06-23 19:46:27.816,90,49.15,0,1,0.1444,14.01,0.63,0.38,1,,,,,4.8,57,10,2040,2317.971456,39.154
