schema_version,timestamp,cycle_id,capture_latency[ms],frame_dropped[n],hsv_flag,hsv_mask_ratio,infer_latency[ms],preproc[ms],postproc[ms],capture_sum[ms],capture_frames[n],hsv_sum[ms],hsv_frames[n],visible_frames[n],preproc_sum[ms],infer_sum[ms],infer_count[n],postproc_sum[ms],total_per_fruit[ms],visible_dur[s],cycle_dur[s],eject_flag,planned_eject_ts,eject_delay[ms],outcome_flag,yolo_no_det_flag,cpu_temp,cpu_util[%],gpu_temp,gpu_util[%],gpu_clock[mhz],gpu_mem_used[mb],gpu_power[w]
1.0.0,2026-08-05 02:56:47.766,43,49.11,0,1,0.2365,7.07,0.72,1.4,77.56,104,687.13,104,23,8.59,84.8,12,16.82,874.9,0.188,1.297,1,,,,0,,17.9,53,9,2040,2369.503232,37.816
1.0.0,2026-08-05 02:56:47.892,41,,,,,,,,,,,,,,,,,,,,,2026-08-05 02:56:47.725,9.22,1,,,,,,,,
1.0.0,2026-08-05 02:56:49.018,44,49.13,0,1,0.194,6.75,0.53,1.54,74.58,100,585.85,100,25,6.41,81.02,12,18.5,766.36,0.235,1.25,0,,,,0,,20.1,53,12,2040,2403.581952,38.021
1.0.0,2026-08-05 02:56:50.030,45,49.07,0,1,0.2237,6.15,0.48,1.21,64.65,82,578.03,82,21,5.72,73.8,12,14.53,736.73,0.156,1.015,1,,,,0,,20.9,54,16,2040,2403.581952,37.794
1.0.0,2026-08-05 02:56:50.362,43,,,,,,,,,,,,,,,,,,,,,2026-08-05 02:56:50.166,3.88,1,,,,,,,,
1.0.0,2026-08-05 02:56:50.704,42,,,,,,,,,,,,,,,,,,,,,2026-08-05 02:56:50.537,10.64,1,,,,,,,,
1.0.0,2026-08-05 02:56:51.175,46,49.07,0,1,0.1929,6.2,0.59,1.14,67.43,91,611.02,91,26,7.11,74.38,12,13.71,773.65,0.141,1.141,0,,,,0,,17.5,54,16,2040,2403.581952,37.77
1.0.0,2026-08-05 02:56:52.279,47,49.17,0,1,0.2118,6.66,0.58,1.3,99.91,89,626.67,89,25,6.93,79.96,12,15.57,829.04,0.203,1.109,1,,,,0,,20.0,54,15,2040,2403.581952,37.927
1.0.0,2026-08-05 02:56:52.610,45,,,,,,,,,,,,,,,,,,,,,2026-08-05 02:56:52.430,25.65,1,,,,,,,,
1.0.0,2026-08-05 02:56:53.251,44,,,,,,,,,,,,,,,,,,,,,2026-08-05 02:56:53.090,6.54,1,,,,,,,,
1.0.0,2026-08-05 02:56:53.376,48,49.06,0,1,0.124,5.97,0.49,1.24,62.45,87,509.25,87,33,5.91,71.61,12,14.89,664.11,0.156,1.094,1,,,,0,,19.7,54,22,2040,2403.581952,37.781
1.0.0,2026-08-05 02:56:54.626,49,37.51,0,1,0.2006,6.04,0.61,1.36,76.76,100,640.94,100,27,7.34,72.47,12,16.36,813.87,0.156,1.25,1,,,,0,,19.5,54,10,2040,2369.503232,37.543
1.0.0,2026-08-05 02:56:54.843,47,,,,,,,,,,,,,,,,,,,,,2026-08-05 02:56:54.680,6.13,1,,,,,,,,
1.0.0,2026-08-05 02:56:55.402,46,,,,,,,,,,,,,,,,,,,,,2026-08-05 02:56:55.247,2.05,1,,,,,,,,
1.0.0,2026-08-05 02:56:55.915,50,49.21,0,1,0.1936,6.5,0.55,1.29,76.48,103,606.0,103,27,6.62,78.0,12,15.44,782.54,0.187,1.281,0,,,,0,,20.7,54,8,2040,2369.503232,37.995
1.0.0,2026-08-05 02:56:55.947,48,,,,,,,,,,,,,,,,,,,,,2026-08-05 02:56:55.776,15.05,1,,,,,,,,
1.0.0,2026-08-05 02:56:56.975,51,49.34,0,1,0.1685,5.99,0.54,1.27,63.13,85,525.8,85,28,6.49,71.92,12,15.28,682.62,0.188,1.063,1,,,,0,,16.9,54,16,2040,2369.503232,38.029
1.0.0,2026-08-05 02:56:57.200,49,,,,,,,,,,,,,,,,,,,,,2026-08-05 02:56:57.026,16.4,1,,,,,,,,
1.0.0,2026-08-05 02:56:58.187,52,49.25,0,1,0.1942,6.07,0.67,1.35,72.67,98,604.51,98,26,8.05,72.82,12,16.14,774.19,0.203,1.218,1,,,,0,,17.2,54,16,2040,2369.503232,37.861
1.0.0,2026-08-05 02:56:59.326,53,49.3,0,1,0.1881,9.21,0.63,1.33,67.79,90,616.41,90,27,7.62,110.55,12,15.93,818.3,0.187,1.141,0,,,,0,,20.2,54,17,2040,2403.581952,37.853
1.0.0,2026-08-05 02:56:59.546,51,,,,,,,,,,,,,,,,,,,,,2026-08-05 02:56:59.375,13.47,1,,,,,,,,
1.0.0,2026-08-05 02:57:00.158,50,,,,,,,,,,,,,,,,,,,,,2026-08-05 02:56:59.986,15.08,1,,,,,,,,
1.0.0,2026-08-05 02:57:00.575,54,49.31,0,1,0.237,6.1,0.6,1.36,70.74,100,692.8,100,23,7.19,73.15,12,16.32,860.2,0.156,1.25,1,,,,0,,21.8,54,15,2040,2403.581952,37.382
1.0.0,2026-08-05 02:57:00.745,52,,,,,,,,,,,,,,,,,,,,,2026-08-05 02:57:00.587,2.29,1,,,,,,,,
1.0.0,2026-08-05 02:57:01.816,55,49.12,0,1,0.1988,6.4,0.55,1.42,68.49,99,607.97,99,25,6.61,76.79,12,17.06,776.92,0.234,1.234,0,,,,0,,18.2,54,8,2040,2403.581952,38.03
1.0.0,2026-08-05 02:57:02.826,56,48.95,0,1,0.224,5.57,0.61,1.34,102.27,81,599.65,81,22,7.3,66.84,12,16.08,792.14,0.156,1.016,1,,,,0,,19.0,54,17,2040,2369.503232,38.021
1.0.0,2026-08-05 02:57:03.144,54,,,,,,,,,,,,,,,,,,,,,2026-08-05 02:57:02.976,14.9,1,,,,,,,,
1.0.0,2026-08-05 02:57:03.565,53,,,,,,,,,,,,,,,,,,,,,2026-08-05 02:57:03.398,11.45,1,,,,,,,,
1.0.0,2026-08-05 02:57:03.966,57,53.09,0,1,0.1925,6.8,0.72,1.45,69.55,91,570.67,91,26,8.61,81.6,12,17.44,747.87,0.141,1.141,0,,,,0,,19.5,54,16,2040,2403.581952,37.874
1.0.0,2026-08-05 02:57:05.076,58,43.56,0,1,0.2122,6.11,0.58,1.33,65.07,89,600.13,89,24,6.97,73.37,12,15.99,761.53,0.156,1.109,1,,,,0,,19.4,54,16,2040,2403.581952,37.92
1.0.0,2026-08-05 02:57:05.389,56,,,,,,,,,,,,,,,,,,,,,2026-08-05 02:57:05.226,6.93,1,,,,,,,,
1.0.0,2026-08-05 02:57:06.061,55,,,,,,,,,,,,,,,,,,,,,2026-08-05 02:57:05.889,16.05,1,,,,,,,,
1.0.0,2026-08-05 02:57:06.174,59,49.26,0,1,0.124,6.32,0.66,1.27,66.05,88,486.47,88,32,7.89,75.86,12,15.29,651.56,0.156,1.094,1,,,,0,,18.3,54,15,2040,2403.581952,37.858
1.0.0,2026-08-05 02:57:07.426,60,49.16,0,1,0.2009,6.21,0.57,1.29,71.23,100,665.11,100,28,6.88,74.52,12,15.45,833.19,0.156,1.25,1,,,,0,,17.8,54,26,2040,2369.503232,37.758
1.0.0,2026-08-05 02:57:07.650,58,,,,,,,,,,,,,,,,,,,,,2026-08-05 02:57:07.476,15.87,1,,,,,,,,
1.0.0,2026-08-05 02:57:08.200,57,,,,,,,,,,,,,,,,,,,,,2026-08-05 02:57:08.037,6.81,1,,,,,,,,
1.0.0,2026-08-05 02:57:08.716,61,49.15,0,1,0.1932,7.77,0.74,1.49,74.43,103,662.99,103,27,8.9,93.27,12,17.86,857.45,0.141,1.297,0,,,,0,,20.0,54,8,2040,2403.581952,37.778
1.0.0,2026-08-05 02:57:08.746,59,,,,,,,,,,,,,,,,,,,,,2026-08-05 02:57:08.575,15.21,1,,,,,,,,
